MARKER_ID,BARCODE,CONTROL,FULL_NAME,ALT_ID
HLA-DR,BC1,,,
CD3,BC3,,,
CD19,BC6,,,
CD8a,BC18,,,
CD69,BC9,,,
CD4,BC15,,,
CD14,BC10,,,
CD80,BC12,,,
mIgG1,BC5,,,
mIgG2b,BC8,,,
CD62L,BC2,,,
CD40,BC4,,,
CD2,BC7,,,
CD11b,BC11,,,
CD274,BC13,,,
CD28,BC14,,,
CD86,BC16,,,
CD45,BC17,,,
CD45RA,BC19,,,
