MARKER_ID,BARCODE,CONTROL,FULL_NAME,ALT_ID
HLA-DR,BC7,,,
CTNNB1,BC11,,,
CD3,BC9,,,
CD19,BC14,,,
Ki67,BC10,,,
CD8,BC12,,,
IsoRbt,BC15,yes,Rabbit_Isotype,
