MARKER_ID,BARCODE,CONTROL,FULL_NAME,ALT_ID
CD45,CD45,,,
CD3,CD3,,,
CD19,CD19,,,
IgG1ctrl,IgG1ctrl,yes,,
CD20,CD20,,,
CD69,CD69,,,
HLA-DR,HLA-DR,,,
CD8,CD8,,,
CD14,CD14,,,
IsoT_ctrl,IsoT_ctrl,yes,,
CD45RA,CD45RA,,,
CD45RO,CD45RO,,,
CD62L,CD62L,,,
CD82,CD82,,,
CD7,CD7,,,
CD70,CD70,,,
CD72,CD72,,,
CD162,CD162,,,
CD26,CD26,,,
CD63,CD63,,,
CD4,CD4,,,
hashtag,hashtag,,,
CD28,CD28,,,
TCR,TCR,,,
LAG3,LAG3,,,
CD15,CD15,,,
CD56,CD56,,,
