sample,design,panel,fastq_1,fastq_2
uropod_control,D21,human-sc-immunology-spatial-proteomics,/home/fbdtemme/Documents/pixelgen/nf-core-pixelator-datasets/testdata/micro/uropod_control_300k_S1_R1_001.fastq.gz,/home/fbdtemme/Documents/pixelgen/nf-core-pixelator-datasets/testdata/micro/uropod_control_300k_S1_R2_001.fastq.gz
pbmcs_unstimulated,D21,human-sc-immunology-spatial-proteomics,Sample01_human_pbmcs_unstimulated_200k_R1_001.fastq.gz,Sample01_human_pbmcs_unstimulated_200k_R2_001.fastq.gz
