MARKER_ID,BARCODE,CONTROL,FULL_NAME,ALT_ID
CD3,CD3,,,
CD8,CD8,,,
CD56,CD56,,,
CD19,CD19,,,
CD45RA,CD45RA,,,
CD7,CD7,,,
CD14,CD14,,,
CD25,CD25,,,
CD45RO,CD45RO,,,
mIgG1,mIgG1,yes,,
mIgG2b,mIgG2b,yes,,
CD20,CD20,,,
CD69,CD69,,,
CD62L,CD62L,,,
Lag3,Lag3,,,
HLA-DR,HLA-DR,,,
CD54,CD54,,,
TCR,TCR,,,
CD28,CD28,,,
CD45,CD45,,,
CD26,CD26,,,
CD63,CD63,,,
CD72,CD72,,,
CD162,CD162,,,
CD82,CD82,,,
CD70,CD70,,,
Hashtag,Hashtag,,,
CD15,CD15,,,
LFA1,LFA1,,,
